UNIDAD;NEGOCIO;LINEA/PROCESO;Periodo Admon;FUENTE INFORMACIÓN;Suma de VALOR ANTES IVA
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;CONVENIOS ESTRATEGICOS HOTELES;2022/12;Ejecutado;24559760
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2022/01;Ejecutado;152131112,5
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2022/02;Ejecutado;136105874
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2022/03;Ejecutado;217123108,4
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2022/04;Ejecutado;141376766,7
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2022/05;Ejecutado;145918545,7
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2022/06;Ejecutado;133238428,6
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2022/07;Ejecutado;130213020,4
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2022/08;Ejecutado;156249301,5
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2022/09;Ejecutado;242468058,2
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2022/10;Ejecutado;110615270,8
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2022/11;Ejecutado;114685886
BIENESTAR Y DESARROLLO SOCIAL;ALOJAMIENTO;HOTELES;2022/12;Ejecutado;478186395
BIENESTAR Y DESARROLLO SOCIAL;CONTRATO PRESTACION SERVICIOS;AGENCIA DE EMPLEO;2022/01;Ejecutado;11127022,77
BIENESTAR Y DESARROLLO SOCIAL;CONTRATO PRESTACION SERVICIOS;AGENCIA DE EMPLEO;2022/02;Ejecutado;3824480,172
BIENESTAR Y DESARROLLO SOCIAL;CONTRATO PRESTACION SERVICIOS;AGENCIA DE EMPLEO;2022/03;Ejecutado;-82883,54579
BIENESTAR Y DESARROLLO SOCIAL;CONTRATO PRESTACION SERVICIOS;AGENCIA DE EMPLEO;2022/04;Ejecutado;67038,50471
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2022/01;Ejecutado;3546978,284
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2022/02;Ejecutado;3527387,968
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2022/03;Ejecutado;3129530,366
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2022/04;Ejecutado;28592053,63
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2022/05;Ejecutado;2735936,333
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2022/06;Ejecutado;3308807,044
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2022/07;Ejecutado;4827288,075
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2022/08;Ejecutado;7408251,944
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2022/09;Ejecutado;6218167,627
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2022/10;Ejecutado;5420823,941
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2022/11;Ejecutado;24574445
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIO COMEDORES;2022/12;Ejecutado;28283531
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2022/01;Ejecutado;3395556,836
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2022/02;Ejecutado;3615483,156
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2022/03;Ejecutado;3728477,254
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2022/04;Ejecutado;2553110,377
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2022/05;Ejecutado;1151342,405
BIENESTAR Y DESARROLLO SOCIAL;CONVENIOS;CONVENIOS;2022/06;Ejecutado;1948150,79
