UNIDAD;NEGOCIO;LINEA/PROCESO;Periodo Admon;FUENTE INFORMACIÓN;Suma de VALOR ANTES IVA
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;FINANZAS;2022/05;Ejecutado;115726155
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;FINANZAS;2022/06;Ejecutado;152115694,2
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;FINANZAS;2022/07;Ejecutado;131238316,7
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;FINANZAS;2022/08;Ejecutado;137786269,2
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;FINANZAS;2022/09;Ejecutado;306185236
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;FINANZAS;2022/10;Ejecutado;75167390,63
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;FINANZAS;2022/11;Ejecutado;10286360
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;FINANZAS;2022/12;Ejecutado;989084003
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;GESTIONAR INFORMACIÓN EMPRESARIAL;2022/01;Ejecutado;265489288,9
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;GESTIONAR INFORMACIÓN EMPRESARIAL;2022/02;Ejecutado;47678042,75
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;GESTIONAR INFORMACIÓN EMPRESARIAL;2022/03;Ejecutado;48370703,74
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;GESTIONAR INFORMACIÓN EMPRESARIAL;2022/04;Ejecutado;116030969
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;GESTIONAR INFORMACIÓN EMPRESARIAL;2022/05;Ejecutado;115195761,1
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;GESTIONAR INFORMACIÓN EMPRESARIAL;2022/06;Ejecutado;-45429692,78
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;GESTIONAR INFORMACIÓN EMPRESARIAL;2022/07;Ejecutado;58338814,82
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;GESTIONAR INFORMACIÓN EMPRESARIAL;2022/08;Ejecutado;51235678,73
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;GESTIONAR INFORMACIÓN EMPRESARIAL;2022/09;Ejecutado;57903377,38
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;GESTIONAR INFORMACIÓN EMPRESARIAL;2022/10;Ejecutado;52899647,75
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;GESTIONAR INFORMACIÓN EMPRESARIAL;2022/11;Ejecutado;48540288
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;GESTIONAR INFORMACIÓN EMPRESARIAL;2022/12;Ejecutado;291885564
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS;2022/01;Ejecutado;63675240,28
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS;2022/02;Ejecutado;51941774,44
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS;2022/03;Ejecutado;56275464,55
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS;2022/04;Ejecutado;53283455,54
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS;2022/05;Ejecutado;73703763,28
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS;2022/06;Ejecutado;62731630,66
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS;2022/07;Ejecutado;49187956,75
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS;2022/08;Ejecutado;46879835,83
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS;2022/09;Ejecutado;55191779,09
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS;2022/10;Ejecutado;52832940,92
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS;2022/11;Ejecutado;38170150
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS;2022/12;Ejecutado;105813633
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OPERACIÓN SAP;2022/01;Ejecutado;6238847,868
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OPERACIÓN SAP;2022/02;Ejecutado;-19004988,77
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OPERACIÓN SAP;2022/03;Ejecutado;8969835,507
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OPERACIÓN SAP;2022/04;Ejecutado;1741302,362
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OPERACIÓN SAP;2022/05;Ejecutado;28283937,68
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OPERACIÓN SAP;2022/06;Ejecutado;3756128,667
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OPERACIÓN SAP;2022/07;Ejecutado;2416250,452
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OPERACIÓN SAP;2022/08;Ejecutado;2628208,205
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OPERACIÓN SAP;2022/09;Ejecutado;4286833,303
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OPERACIÓN SAP;2022/10;Ejecutado;2836765,894
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OPERACIÓN SAP;2022/11;Ejecutado;9544907
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OPERACIÓN SAP;2022/12;Ejecutado;2957486
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OTROS COMPENSAR;2022/01;Ejecutado;6319594,905
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OTROS COMPENSAR;2022/02;Ejecutado;6173492,564
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OTROS COMPENSAR;2022/03;Ejecutado;9220122,034
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OTROS COMPENSAR;2022/04;Ejecutado;5246920,344
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OTROS COMPENSAR;2022/05;Ejecutado;6176528,116
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OTROS COMPENSAR;2022/06;Ejecutado;5385876,511
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OTROS COMPENSAR;2022/07;Ejecutado;5786532,446
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OTROS COMPENSAR;2022/08;Ejecutado;15363665,17
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OTROS COMPENSAR;2022/09;Ejecutado;-5624147,026
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OTROS COMPENSAR;2022/10;Ejecutado;5974755,499
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OTROS COMPENSAR;2022/11;Ejecutado;4442897
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;OTROS COMPENSAR;2022/12;Ejecutado;14813716
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;PROYECTOS DE INFRAESTRUCTURA;2022/01;Ejecutado;4854376,699
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;PROYECTOS DE INFRAESTRUCTURA;2022/02;Ejecutado;4121839,375
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;PROYECTOS DE INFRAESTRUCTURA;2022/03;Ejecutado;32156200,95
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;PROYECTOS DE INFRAESTRUCTURA;2022/04;Ejecutado;4661826,88
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;PROYECTOS DE INFRAESTRUCTURA;2022/05;Ejecutado;4992646,858
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;PROYECTOS DE INFRAESTRUCTURA;2022/06;Ejecutado;10120053,88
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;PROYECTOS DE INFRAESTRUCTURA;2022/07;Ejecutado;11182706,67
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;PROYECTOS DE INFRAESTRUCTURA;2022/08;Ejecutado;27404570,69
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;PROYECTOS DE INFRAESTRUCTURA;2022/09;Ejecutado;3945507,9
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;PROYECTOS DE INFRAESTRUCTURA;2022/10;Ejecutado;6779753,459
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;PROYECTOS DE INFRAESTRUCTURA;2022/11;Ejecutado;828507
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;PROYECTOS DE INFRAESTRUCTURA;2022/12;Ejecutado;15027184
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SEGURIDAD INTEGRAL;2022/01;Ejecutado;15075220,08
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SEGURIDAD INTEGRAL;2022/02;Ejecutado;13825276,43
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SEGURIDAD INTEGRAL;2022/03;Ejecutado;8841742,665
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SEGURIDAD INTEGRAL;2022/04;Ejecutado;11408658,41
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SEGURIDAD INTEGRAL;2022/05;Ejecutado;14938513,53
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SEGURIDAD INTEGRAL;2022/06;Ejecutado;17518811,56
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SEGURIDAD INTEGRAL;2022/07;Ejecutado;21409136,8
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SEGURIDAD INTEGRAL;2022/08;Ejecutado;15820670,42
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SEGURIDAD INTEGRAL;2022/09;Ejecutado;14293549,12
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SEGURIDAD INTEGRAL;2022/10;Ejecutado;16742415,04
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SEGURIDAD INTEGRAL;2022/11;Ejecutado;10384093
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SEGURIDAD INTEGRAL;2022/12;Ejecutado;49392001
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SERVICIOS JURÍDICOS;2022/01;Ejecutado;9228627,448
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SERVICIOS JURÍDICOS;2022/02;Ejecutado;8146744,252
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SERVICIOS JURÍDICOS;2022/03;Ejecutado;8257239,302
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SERVICIOS JURÍDICOS;2022/04;Ejecutado;8270067,484
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SERVICIOS JURÍDICOS;2022/05;Ejecutado;10365616,81
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SERVICIOS JURÍDICOS;2022/06;Ejecutado;11354554,37
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SERVICIOS JURÍDICOS;2022/07;Ejecutado;8078992,136
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SERVICIOS JURÍDICOS;2022/08;Ejecutado;6504443,006
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SERVICIOS JURÍDICOS;2022/09;Ejecutado;7523431,444
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SERVICIOS JURÍDICOS;2022/10;Ejecutado;8685204,467
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SERVICIOS JURÍDICOS;2022/11;Ejecutado;4760531
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;SERVICIOS JURÍDICOS;2022/12;Ejecutado;36089470
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TALENTO HUMANO;2022/01;Ejecutado;130663794,7
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TALENTO HUMANO;2022/02;Ejecutado;100007496,6
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TALENTO HUMANO;2022/03;Ejecutado;78074690,35
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TALENTO HUMANO;2022/04;Ejecutado;164401189,8
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TALENTO HUMANO;2022/05;Ejecutado;96166038,24
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TALENTO HUMANO;2022/06;Ejecutado;162329553,5
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TALENTO HUMANO;2022/07;Ejecutado;150040314,6
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TALENTO HUMANO;2022/08;Ejecutado;82149211,95
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TALENTO HUMANO;2022/09;Ejecutado;207714735,8
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TALENTO HUMANO;2022/10;Ejecutado;95293528,18
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TALENTO HUMANO;2022/11;Ejecutado;79189232
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TALENTO HUMANO;2022/12;Ejecutado;261240095
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TECNOLOGÍA DE INFORMACIÓN;2022/01;Ejecutado;372583393,2
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TECNOLOGÍA DE INFORMACIÓN;2022/02;Ejecutado;104468858
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TECNOLOGÍA DE INFORMACIÓN;2022/03;Ejecutado;107692372,2
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TECNOLOGÍA DE INFORMACIÓN;2022/04;Ejecutado;578371412,3
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TECNOLOGÍA DE INFORMACIÓN;2022/05;Ejecutado;135880170,3
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TECNOLOGÍA DE INFORMACIÓN;2022/06;Ejecutado;119423367,2
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TECNOLOGÍA DE INFORMACIÓN;2022/07;Ejecutado;122592032,6
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TECNOLOGÍA DE INFORMACIÓN;2022/08;Ejecutado;191226965
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TECNOLOGÍA DE INFORMACIÓN;2022/09;Ejecutado;134950635,1
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TECNOLOGÍA DE INFORMACIÓN;2022/10;Ejecutado;345759059,6
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TECNOLOGÍA DE INFORMACIÓN;2022/11;Ejecutado;-16641780
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TECNOLOGÍA DE INFORMACIÓN;2022/12;Ejecutado;760888372
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TRANSVERSALES TALENTO HUMANO;2022/01;Ejecutado;29538691,79
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TRANSVERSALES TALENTO HUMANO;2022/02;Ejecutado;30572739,98
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TRANSVERSALES TALENTO HUMANO;2022/03;Ejecutado;30204533,38
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TRANSVERSALES TALENTO HUMANO;2022/04;Ejecutado;25720033,71
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TRANSVERSALES TALENTO HUMANO;2022/05;Ejecutado;18477341,28
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TRANSVERSALES TALENTO HUMANO;2022/06;Ejecutado;18469239,7
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TRANSVERSALES TALENTO HUMANO;2022/07;Ejecutado;22657638,63
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TRANSVERSALES TALENTO HUMANO;2022/08;Ejecutado;25373321,69
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TRANSVERSALES TALENTO HUMANO;2022/09;Ejecutado;38886640,92
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TRANSVERSALES TALENTO HUMANO;2022/10;Ejecutado;20232113,03
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TRANSVERSALES TALENTO HUMANO;2022/11;Ejecutado;20848676
CENTRO DE SERVICIOS COMPARTIDOS;CENTRO DE SERVICIOS COMPARTIDOS;TRANSVERSALES TALENTO HUMANO;2022/12;Ejecutado;35123550
CORPORATIVO;CORPORATIVO;APORTES Y APROPIACIONES;2022/03;Ejecutado;203445
CORPORATIVO;CORPORATIVO;APORTES Y APROPIACIONES;2022/04;Ejecutado;-4265,153303
CORPORATIVO;CORPORATIVO;APORTES Y APROPIACIONES;2022/07;Ejecutado;267124
CORPORATIVO;CORPORATIVO;APORTES Y APROPIACIONES;2022/08;Ejecutado;120054,4648
CORPORATIVO;CORPORATIVO;APORTES Y APROPIACIONES;2022/09;Ejecutado;577362,4507
CORPORATIVO;CORPORATIVO;APORTES Y APROPIACIONES;2022/10;Ejecutado;200575,8973
CORPORATIVO;CORPORATIVO;APORTES Y APROPIACIONES;2022/11;Ejecutado;855557
CORPORATIVO;CORPORATIVO;APORTES Y APROPIACIONES;2022/12;Ejecutado;65948
CORPORATIVO;CORPORATIVO;ASUNTOS CORPORATIVOS;2022/01;Ejecutado;7927827,741
CORPORATIVO;CORPORATIVO;ASUNTOS CORPORATIVOS;2022/02;Ejecutado;13355886,41
CORPORATIVO;CORPORATIVO;ASUNTOS CORPORATIVOS;2022/03;Ejecutado;7135938,347
CORPORATIVO;CORPORATIVO;ASUNTOS CORPORATIVOS;2022/04;Ejecutado;6134246,723
CORPORATIVO;CORPORATIVO;ASUNTOS CORPORATIVOS;2022/05;Ejecutado;8685604,064
CORPORATIVO;CORPORATIVO;ASUNTOS CORPORATIVOS;2022/06;Ejecutado;9464614,344
CORPORATIVO;CORPORATIVO;ASUNTOS CORPORATIVOS;2022/07;Ejecutado;7137982,437
CORPORATIVO;CORPORATIVO;ASUNTOS CORPORATIVOS;2022/08;Ejecutado;5545072,457
CORPORATIVO;CORPORATIVO;ASUNTOS CORPORATIVOS;2022/09;Ejecutado;6288753,171
CORPORATIVO;CORPORATIVO;ASUNTOS CORPORATIVOS;2022/10;Ejecutado;5756945,701
CORPORATIVO;CORPORATIVO;ASUNTOS CORPORATIVOS;2022/11;Ejecutado;5044623
CORPORATIVO;CORPORATIVO;ASUNTOS CORPORATIVOS;2022/12;Ejecutado;9938077
CORPORATIVO;CORPORATIVO;CORPORATIVO;2022/01;Ejecutado;171601779
CORPORATIVO;CORPORATIVO;CORPORATIVO;2022/02;Ejecutado;104498196,9
CORPORATIVO;CORPORATIVO;CORPORATIVO;2022/03;Ejecutado;154785570,7
CORPORATIVO;CORPORATIVO;CORPORATIVO;2022/04;Ejecutado;150017581,2
CORPORATIVO;CORPORATIVO;CORPORATIVO;2022/05;Ejecutado;136130279,8
CORPORATIVO;CORPORATIVO;CORPORATIVO;2022/06;Ejecutado;133024419,7
CORPORATIVO;CORPORATIVO;CORPORATIVO;2022/07;Ejecutado;102189666,1
CORPORATIVO;CORPORATIVO;CORPORATIVO;2022/08;Ejecutado;130443112,5
CORPORATIVO;CORPORATIVO;CORPORATIVO;2022/09;Ejecutado;327252772,7
CORPORATIVO;CORPORATIVO;CORPORATIVO;2022/10;Ejecutado;140122983
CORPORATIVO;CORPORATIVO;CORPORATIVO;2022/11;Ejecutado;165067764
CORPORATIVO;CORPORATIVO;CORPORATIVO;2022/12;Ejecutado;910814692
CORPORATIVO;CORPORATIVO;GESTIONAR AUDITORIAS CORPORATIVAS;2022/01;Ejecutado;11292590,2
CORPORATIVO;CORPORATIVO;GESTIONAR AUDITORIAS CORPORATIVAS;2022/02;Ejecutado;16827550,42
CORPORATIVO;CORPORATIVO;GESTIONAR AUDITORIAS CORPORATIVAS;2022/03;Ejecutado;9256323,017
CORPORATIVO;CORPORATIVO;GESTIONAR AUDITORIAS CORPORATIVAS;2022/04;Ejecutado;9763083,988
CORPORATIVO;CORPORATIVO;GESTIONAR AUDITORIAS CORPORATIVAS;2022/05;Ejecutado;18180304,42
CORPORATIVO;CORPORATIVO;GESTIONAR AUDITORIAS CORPORATIVAS;2022/06;Ejecutado;9754597,291
CORPORATIVO;CORPORATIVO;GESTIONAR AUDITORIAS CORPORATIVAS;2022/07;Ejecutado;9034905,091
CORPORATIVO;CORPORATIVO;GESTIONAR AUDITORIAS CORPORATIVAS;2022/08;Ejecutado;8424797,679
CORPORATIVO;CORPORATIVO;GESTIONAR AUDITORIAS CORPORATIVAS;2022/09;Ejecutado;9740228,067
CORPORATIVO;CORPORATIVO;GESTIONAR AUDITORIAS CORPORATIVAS;2022/10;Ejecutado;8595074,593
CORPORATIVO;CORPORATIVO;GESTIONAR AUDITORIAS CORPORATIVAS;2022/11;Ejecutado;7794729
CORPORATIVO;CORPORATIVO;GESTIONAR AUDITORIAS CORPORATIVAS;2022/12;Ejecutado;20912906
CORPORATIVO;CORPORATIVO;GESTIONAR EL RIESGO CORPORATIVO;2022/01;Ejecutado;17803706,69
CORPORATIVO;CORPORATIVO;GESTIONAR EL RIESGO CORPORATIVO;2022/02;Ejecutado;22938570,64
CORPORATIVO;CORPORATIVO;GESTIONAR EL RIESGO CORPORATIVO;2022/03;Ejecutado;17662125,11
CORPORATIVO;CORPORATIVO;GESTIONAR EL RIESGO CORPORATIVO;2022/04;Ejecutado;16412868,78
CORPORATIVO;CORPORATIVO;GESTIONAR EL RIESGO CORPORATIVO;2022/05;Ejecutado;29539462,08
CORPORATIVO;CORPORATIVO;GESTIONAR EL RIESGO CORPORATIVO;2022/06;Ejecutado;21327602,04
CORPORATIVO;CORPORATIVO;GESTIONAR EL RIESGO CORPORATIVO;2022/07;Ejecutado;20915099,46
CORPORATIVO;CORPORATIVO;GESTIONAR EL RIESGO CORPORATIVO;2022/08;Ejecutado;15767667,37
CORPORATIVO;CORPORATIVO;GESTIONAR EL RIESGO CORPORATIVO;2022/09;Ejecutado;19166448,58
CORPORATIVO;CORPORATIVO;GESTIONAR EL RIESGO CORPORATIVO;2022/10;Ejecutado;16240356,07
CORPORATIVO;CORPORATIVO;GESTIONAR EL RIESGO CORPORATIVO;2022/11;Ejecutado;57158792
CORPORATIVO;CORPORATIVO;GESTIONAR EL RIESGO CORPORATIVO;2022/12;Ejecutado;45884810
CORPORATIVO;CORPORATIVO;OTROS COMPENSAR;2022/01;Ejecutado;557739452,2
CORPORATIVO;CORPORATIVO;OTROS COMPENSAR;2022/02;Ejecutado;237678063,3
CORPORATIVO;CORPORATIVO;OTROS COMPENSAR;2022/03;Ejecutado;143592877,3
CORPORATIVO;CORPORATIVO;OTROS COMPENSAR;2022/04;Ejecutado;208835570,6
